date,latitude,longitude,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,year,month,dayofyear,dayofweek,scaled_temperature_celsius,scaled_feels_like_celsius,scaled_wind_kph,scaled_pressure_mb,scaled_precip_mm,scaled_humidity,scaled_cloud,scaled_visibility_km,scaled_uv_index,scaled_air_quality_PM2.5,scaled_air_quality_PM10
2024-12-06,19.10726871794872,22.088990769230772,18.57179487179487,65.12871794871795,8.25025641025641,13.121282051282051,156.44615384615383,1014.8,29.967538461538464,0.011282051282051283,0.003435897435897436,65.63589743589743,45.05641025641026,18.803076923076922,65.36512820512822,9.492820512820513,5.6,2.543076923076923,11.592820512820513,18.224615384615387,438.65939487179486,65.28461538461538,13.871902564102562,6.88747435897436,25.009538461538465,35.2015641025641,1.9538461538461538,3.2256410256410257,21.784615384615385,2024.0,12.0,341.0,4.0,-0.303098076053232,-0.30875934252742326,0.05260463301234003,0.11594359269013373,-0.08339486826602618,-0.05118999635255942,0.1575693045185804,-0.008617397546839593,-0.19534045169004352,0.3321484563198635,0.21514632196713998
2024-12-07,19.10726871794872,22.088990769230772,18.385128205128204,64.83333333333333,8.63948717948718,13.685384615384615,147.53333333333333,1014.7076923076924,29.962615384615386,0.014512820512820513,0.002871794871794872,66.91794871794872,45.48205128205128,18.485384615384614,64.88923076923076,9.175384615384615,5.420512820512821,2.5966666666666667,11.967692307692307,18.78871794871795,413.4463692307692,65.71538461538462,12.105928205128205,6.495087179487179,24.50894358974359,35.05328461538461,1.9025641025641025,3.164102564102564,31.323076923076922,2024.0,12.0,342.0,5.0,-0.32324801883377435,-0.3373981473775864,0.12315816545386601,0.10178065030985671,0.07343110111225888,0.002851219363344184,0.1700614869782187,-0.12691218903881402,-0.18011732008918976,0.30200694447014614,0.20955579087927206
2024-12-08,19.10726871794872,22.088990769230772,18.002564102564104,64.06410256410257,8.691282051282052,13.663589743589744,156.5179487179487,1014.4769230769231,29.9625641025641,0.013794871794871795,0.005794871794871795,67.53846153846153,44.03076923076923,17.91948717948718,63.827179487179485,9.286666666666667,5.471794871794872,2.5415384615384613,12.111794871794872,18.794871794871796,420.40887692307695,64.84358974358975,11.265738461538461,6.038733333333334,23.247794871794873,32.81413846153846,1.8307692307692307,3.046153846153846,41.84615384615385,2024.0,12.0,343.0,6.0,-0.364544330136754,-0.38841174084353486,0.12043223351862525,0.06637329435916417,0.038580885694862205,0.029007167769841538,0.1274676600375243,-0.08544212481626401,-0.19577747939150345,0.22607143020885787,0.12513402478424812
2024-12-09,19.31469432989691,23.105944329896907,17.954123711340205,63.869587628865986,7.829896907216495,12.573711340206186,158.07731958762886,1015.8144329896908,30.009381443298967,0.01252577319587629,0.0037628865979381443,66.64432989690722,46.68556701030928,17.921134020618556,63.829896907216494,9.614948453608248,5.654639175257732,2.502061855670103,11.167010309278352,17.73659793814433,418.92726288659793,67.12628865979381,12.305845360824742,6.284554123711341,23.473432989690725,34.28154896907216,1.9175257731958764,3.154639175257732,53.21134020618557,2024.0,12.0,344.0,0.0,-0.3697732825194072,-0.3882632841115374,-0.015881224678064593,0.2715899491579203,-0.023022900836404906,-0.008682401747487125,0.20538359449311566,0.03689446613186326,-0.20699152010216046,0.23965741437989144,0.18045930420810402
2024-12-10,19.381017525773196,21.284037113402064,18.21958762886598,64.37525773195875,7.779896907216495,12.486082474226805,151.6443298969072,1016.4742268041238,30.0270618556701,0.010876288659793816,0.0034020618556701034,67.10309278350516,45.73711340206186,18.427577319587627,64.78298969072165,9.445876288659793,5.587628865979381,2.5167525773195876,10.889175257731958,17.482989690721652,426.09932474226804,65.05154639175258,13.518,6.768932989690722,25.321443298969076,36.05151804123711,1.9793814432989691,3.381443298969072,64.26804123711341,2024.0,12.0,345.0,1.0,-0.34111748208132003,-0.3426092646226692,-0.02684115720119762,0.3728233517385945,-0.10309114244338402,0.010655439463842916,0.17754733150393287,-0.026111503455155085,-0.20281835609724036,0.35092867937666566,0.24719184631978003
2024-12-11,18.633421827411166,21.8802192893401,18.098477157360406,64.2736040609137,8.0248730964467,12.842639593908629,151.3248730964467,1016.4162436548223,30.01802030456853,0.012182741116751269,0.00401015228426396,67.34010152284264,44.65482233502538,18.2002538071066,64.3994923857868,9.506598984771573,5.619289340101523,2.412182741116751,11.20761421319797,17.702030456852793,442.36520304568523,61.286802030456855,14.930852791878172,7.003847715736041,25.288416243654822,36.198213197969544,1.9898477157360406,3.3197969543147208,74.59390862944163,2024.0,12.0,346.0,2.0,-0.3541908878186154,-0.36310165160895785,0.017754215895094218,0.36392688837728526,-0.03967414841679031,0.02064586698293422,0.14578305910210193,-0.0034827499543822883,-0.232523300949788,0.3489400745482813,0.25272264393549876
2024-12-12,19.418646391752578,21.30190670103093,18.11958762886598,64.33453608247423,7.88041237113402,12.545876288659795,169.659793814433,1016.2164948453608,30.01201030927835,0.008814432989690722,0.002938144329896907,66.04639175257732,42.329896907216494,18.316752577319587,64.53247422680413,9.547422680412371,5.644329896907217,2.6216494845360825,10.955154639175259,17.146907216494846,445.9938917525773,60.394329896907216,14.682463917525775,7.275798969072166,26.123752577319586,36.623636597938145,1.958762886597938,3.3608247422680413,84.31443298969072,2024.0,12.0,347.0,3.0,-0.35191209428518205,-0.35259971163550047,-0.01936261500894212,0.3332790538555186,-0.20317644445210792,-0.03388677905663639,0.07754858239605335,0.011730496571194349,-0.1730205008340391,0.39923683430009377,0.2687622377341476
2024-12-13,19.003849743589743,23.883776923076926,17.76871794871795,63.59846153846154,7.707692307692308,12.249743589743591,165.90769230769232,1016.3333333333334,30.021846153846155,0.009282051282051283,0.0028205128205128207,65.68205128205128,42.90769230769231,17.81564102564103,63.48564102564103,9.540512820512822,5.635897435897436,2.6153846153846154,10.751794871794871,16.942051282051285,452.9709897435897,65.46153846153847,13.880692307692309,7.411289743589743,26.47949743589744,36.99906153846154,1.9743589743589745,3.4153846153846152,91.73846153846154,2024.0,12.0,348.0,4.0,-0.3897871155980928,-0.39777309351852763,-0.05640057460981762,0.35120580222917963,-0.18047761121448838,-0.04924451258678689,0.0945063593307679,0.009155487119967552,-0.17480014972142743,0.4206567258620155,0.28291675661656346
2024-12-14,19.590936269430053,22.302089119170986,17.61554404145078,63.41139896373057,8.34818652849741,13.272279792746115,166.86010362694302,1015.5025906735751,29.988860103626944,0.012227979274611401,0.004404145077720207,66.51295336787565,44.626943005181346,17.494300518134715,63.0419689119171,9.195854922279793,5.393782383419689,2.3634715025906736,11.924352331606219,18.96476683937824,429.08089119170984,66.71502590673575,12.24678756476684,6.825098445595854,25.554487046632126,35.17002849740933,1.9689119170984455,3.2487046632124352,96.89119170984456,2024.0,12.0,349.0,5.0,-0.40632164488508715,-0.42674077029916513,0.0714902483754443,0.22374339764674997,-0.03747822619129184,-0.014220204676900433,0.1449648257686501,-0.1192837805774467,-0.24636060534519433,0.3649605667919382,0.21395734576857048
2024-12-15,18.596365989847715,21.862621827411168,17.70507614213198,63.53197969543147,9.10507614213198,14.451015228426396,170.26395939086294,1016.4720812182741,30.021675126903556,0.011319796954314721,0.0031979695431472084,67.20812182741116,42.974619289340104,17.59238578680203,63.15177664974619,9.216751269035534,5.436548223350254,2.5751269035532998,12.607106598984771,19.785786802030458,415.6417969543147,64.03045685279187,11.726213197969543,6.275484771573605,23.34391370558376,32.761730964467006,1.8629441624365481,3.0406091370558377,99.5482233502538,2024.0,12.0,350.0,6.0,-0.39665700181858005,-0.4178987404481947,0.21891724852310598,0.37249415047702983,-0.08156264156714202,0.015082639294007685,0.09647060623332614,-0.11149660526935647,-0.18623607764541664,0.2318588785645331,0.12315812274150181
