country,year,month,avg_temperature_celsius,avg_precip_mm,observations
Australia,2026.0,2.0,26.732142857142858,0.007500000000000001,28
Australia,2026.0,3.0,23.833333333333332,0.016333333333333335,30
Australia,2026.0,4.0,20.38,0.0,30
Australia,2026.0,5.0,16.04193548387097,0.011290322580645162,31
Australia,2026.0,6.0,13.883333333333333,0.02,18
Austria,2024.0,5.0,20.647058823529413,0.027058823529411767,17
Austria,2024.0,6.0,24.936666666666667,0.012000000000000002,30
Austria,2024.0,7.0,28.482142857142858,0.0035714285714285718,28
Austria,2024.0,8.0,29.43548387096774,0.005806451612903225,31
Austria,2024.0,9.0,20.09333333333333,0.012000000000000002,30
Austria,2024.0,10.0,13.583870967741934,0.0064516129032258064,31
Austria,2024.0,11.0,5.87,0.005000000000000001,30
Austria,2024.0,12.0,4.377419354838709,0.006129032258064516,31
Austria,2025.0,1.0,3.406451612903226,0.0070967741935483875,31
Austria,2025.0,2.0,2.6392857142857147,0.002142857142857143,28
Austria,2025.0,3.0,9.125806451612902,0.007419354838709678,31
Austria,2025.0,4.0,13.806666666666667,0.008333333333333333,30
Austria,2025.0,5.0,14.906451612903227,0.016774193548387096,31
Austria,2025.0,6.0,22.98,0.007666666666666667,30
Austria,2025.0,7.0,22.529032258064515,0.017096774193548388,31
Austria,2025.0,8.0,21.4741935483871,0.0035483870967741938,31
Austria,2025.0,9.0,16.77,0.009333333333333334,30
Austria,2025.0,10.0,10.187096774193549,0.00935483870967742,31
Austria,2025.0,11.0,4.043333333333334,0.006333333333333333,30
Austria,2025.0,12.0,1.7161290322580651,0.00870967741935484,31
Austria,2026.0,1.0,-0.5966666666666648,0.004,30
Austria,2026.0,2.0,2.1357142857142866,0.010357142857142858,28
Austria,2026.0,3.0,5.129032258064516,0.009677419354838712,31
Austria,2026.0,4.0,9.49,0.004,30
Austria,2026.0,5.0,14.729999999999999,0.006666666666666667,30
Austria,2026.0,6.0,16.900000000000002,0.01411764705882353,17
Azerbaijan,2024.0,5.0,20.88235294117647,0.0029411764705882353,17
Azerbaijan,2024.0,6.0,28.766666666666666,0.002,30
Azerbaijan,2024.0,7.0,30.5,0.003448275862068966,29
Azerbaijan,2024.0,8.0,30.61935483870968,0.0016129032258064516,31
Azerbaijan,2024.0,9.0,26.855172413793102,0.0,29
Azerbaijan,2024.0,10.0,19.04516129032258,0.015483870967741937,31
Azerbaijan,2024.0,11.0,13.28,0.011333333333333334,30
Azerbaijan,2024.0,12.0,9.48709677419355,0.014516129032258065,31
Azerbaijan,2025.0,1.0,9.3,0.0022580645161290325,31
Azerbaijan,2025.0,2.0,5.121428571428572,0.012142857142857144,28
Azerbaijan,2025.0,3.0,13.061290322580646,0.0016129032258064516,31
Azerbaijan,2025.0,4.0,17.003333333333334,0.0023333333333333335,30
Azerbaijan,2025.0,5.0,23.048387096774192,0.0,31
Azerbaijan,2025.0,6.0,26.543333333333333,0.0,30
Azerbaijan,2025.0,7.0,31.383870967741935,0.0,31
Azerbaijan,2025.0,8.0,31.69677419354839,0.0016129032258064516,31
Azerbaijan,2025.0,9.0,24.37666666666667,0.005666666666666667,30
Azerbaijan,2025.0,10.0,20.46451612903226,0.004516129032258065,31
Azerbaijan,2025.0,11.0,16.323333333333334,0.009000000000000001,30
Azerbaijan,2025.0,12.0,9.925806451612903,0.01806451612903226,31
Azerbaijan,2026.0,1.0,6.546666666666667,0.006,30
Azerbaijan,2026.0,2.0,7.314285714285714,0.007857142857142858,28
Azerbaijan,2026.0,3.0,10.04,0.007333333333333334,30
Azerbaijan,2026.0,4.0,13.533333333333333,0.006666666666666667,30
Azerbaijan,2026.0,5.0,20.032258064516128,0.0032258064516129032,31
Azerbaijan,2026.0,6.0,24.370588235294118,0.0,17
Bahamas,2024.0,5.0,28.764705882352942,0.009411764705882354,17
Bahamas,2024.0,6.0,28.548275862068966,0.02206896551724138,29
Bahamas,2024.0,7.0,29.0,0.010714285714285714,28
Bahamas,2024.0,8.0,28.42258064516129,0.022580645161290325,31
Bahamas,2024.0,9.0,27.62,0.008,30
Bahamas,2024.0,10.0,26.803333333333335,0.0016666666666666668,30
Bahamas,2024.0,11.0,24.555172413793105,0.001724137931034483,29
Bahamas,2024.0,12.0,22.64516129032258,0.0,31
Bahamas,2025.0,1.0,20.19,0.0,30
Bahamas,2025.0,2.0,20.900000000000002,0.0,28
Bahamas,2025.0,3.0,20.08709677419355,0.0016129032258064516,31
Bahamas,2025.0,4.0,23.026666666666664,0.0,30
Bahamas,2025.0,5.0,25.266666666666666,0.0,30
Bahamas,2025.0,6.0,27.003333333333334,0.0,30
Bahamas,2025.0,7.0,27.03548387096774,0.0,31
Bahamas,2025.0,8.0,27.90967741935484,0.0032258064516129032,31
Bahamas,2025.0,9.0,26.683333333333334,0.005000000000000001,30
Bahamas,2025.0,10.0,25.94516129032258,0.0,31
Bahamas,2025.0,11.0,22.833333333333332,0.0016666666666666668,30
Bahamas,2025.0,12.0,22.45483870967742,0.0019354838709677422,31
Bahamas,2026.0,1.0,21.016666666666666,0.005666666666666667,30
Bahamas,2026.0,2.0,18.12142857142857,0.0017857142857142859,28
Bahamas,2026.0,3.0,22.580645161290324,0.005161290322580645,31
Bahamas,2026.0,4.0,23.13,0.0013333333333333333,30
Bahamas,2026.0,5.0,25.94516129032258,0.0070967741935483875,31
Bahamas,2026.0,6.0,26.5,0.0,16
Bahrain,2024.0,5.0,34.411764705882355,0.0,17
Bahrain,2024.0,6.0,36.983333333333334,0.0,30
Bahrain,2024.0,7.0,37.88965517241379,0.0,29
Bahrain,2024.0,8.0,36.94193548387097,0.0,31
Bahrain,2024.0,9.0,37.18,0.0,30
Bahrain,2024.0,10.0,31.067741935483873,0.0,31
Bahrain,2024.0,11.0,27.14,0.0,30
Bahrain,2024.0,12.0,21.283870967741933,0.0,31
Bahrain,2025.0,1.0,20.125806451612902,0.0003225806451612903,31
Bahrain,2025.0,2.0,19.853571428571428,0.004285714285714286,28
Bahrain,2025.0,3.0,24.06451612903226,0.0012903225806451613,31
Bahrain,2025.0,4.0,31.94,0.0,30
Bahrain,2025.0,5.0,36.099999999999994,0.0,31
Bahrain,2025.0,6.0,37.75,0.0,30
Bahrain,2025.0,7.0,38.97096774193548,0.0,31
Bahrain,2025.0,8.0,39.141935483870974,0.0,31
Bahrain,2025.0,9.0,36.593333333333334,0.0,30
Bahrain,2025.0,10.0,31.52258064516129,0.0,31
Bahrain,2025.0,11.0,26.396666666666665,0.0,30
Bahrain,2025.0,12.0,22.370967741935484,0.0029032258064516127,31
Bahrain,2026.0,1.0,18.206666666666667,0.0016666666666666668,30
Bahrain,2026.0,2.0,22.3,0.0,28
Bahrain,2026.0,3.0,20.886666666666667,0.006666666666666667,30
Bahrain,2026.0,4.0,23.876666666666665,0.0,30
Bahrain,2026.0,5.0,28.438709677419357,0.0,31
Bahrain,2026.0,6.0,31.858823529411765,0.0,17
Bangladesh,2024.0,5.0,31.605882352941173,0.012352941176470589,17
Bangladesh,2024.0,6.0,30.12,0.018333333333333333,30
Bangladesh,2024.0,7.0,30.185714285714287,0.025,28
Bangladesh,2024.0,8.0,28.961290322580645,0.03612903225806452,31
Bangladesh,2024.0,9.0,31.196666666666665,0.02,30
Bangladesh,2024.0,10.0,31.151612903225807,0.020967741935483872,31
Bangladesh,2024.0,11.0,29.983333333333334,0.0,30
Bangladesh,2024.0,12.0,26.451612903225808,0.0,31
Bangladesh,2025.0,1.0,26.94193548387097,0.0,31
Bangladesh,2025.0,2.0,30.34642857142857,0.0,28
Bangladesh,2025.0,3.0,35.74516129032258,0.0,31
Bangladesh,2025.0,4.0,37.36,0.008,30
Bangladesh,2025.0,5.0,34.858064516129026,0.024838709677419354,31
Bangladesh,2025.0,6.0,33.217241379310344,0.03241379310344828,29
Bangladesh,2025.0,7.0,31.55806451612903,0.041935483870967745,31
Bangladesh,2025.0,8.0,31.80322580645161,0.035483870967741936,31
Bangladesh,2025.0,9.0,32.82666666666667,0.024333333333333332,30
Bangladesh,2025.0,10.0,32.24193548387097,0.016774193548387096,31
Bangladesh,2025.0,11.0,29.123333333333335,0.0013333333333333333,30
Bangladesh,2025.0,12.0,26.125806451612902,0.0,31
Bangladesh,2026.0,1.0,25.836666666666666,0.0,30
Bangladesh,2026.0,2.0,28.739285714285717,0.0,28
Bangladesh,2026.0,3.0,31.75161290322581,0.0032258064516129032,31
Bangladesh,2026.0,4.0,35.15,0.004666666666666667,30
Bangladesh,2026.0,5.0,34.63870967741936,0.011935483870967743,31
Bangladesh,2026.0,6.0,35.45882352941176,0.014705882352941176,17
Barbados,2024.0,5.0,29.58823529411765,0.019411764705882354,17
Barbados,2024.0,6.0,29.403333333333332,0.020666666666666667,30
Barbados,2024.0,7.0,28.727586206896554,0.02724137931034483,29
Barbados,2024.0,8.0,28.716129032258067,0.02645161290322581,31
Barbados,2024.0,9.0,28.326666666666664,0.018666666666666668,30
Barbados,2024.0,10.0,27.83225806451613,0.03032258064516129,31
Barbados,2024.0,11.0,27.74137931034483,0.03482758620689655,29
Barbados,2024.0,12.0,26.138709677419353,0.02645161290322581,31
Barbados,2025.0,1.0,25.626666666666665,0.029666666666666668,30
Barbados,2025.0,2.0,25.49285714285714,0.03214285714285715,28
Barbados,2025.0,3.0,25.887096774193548,0.024838709677419354,31
Barbados,2025.0,4.0,25.966666666666665,0.023000000000000003,30
Barbados,2025.0,5.0,27.151612903225807,0.026774193548387098,31
Barbados,2025.0,6.0,27.113333333333333,0.034666666666666665,30
Barbados,2025.0,7.0,27.183870967741935,0.02903225806451613,31
Barbados,2025.0,8.0,27.726666666666667,0.024666666666666667,30
Barbados,2025.0,9.0,27.923333333333336,0.029333333333333333,30
Barbados,2025.0,10.0,27.351612903225806,0.02645161290322581,31
Barbados,2025.0,11.0,27.066666666666666,0.03133333333333334,30
Barbados,2025.0,12.0,25.958064516129035,0.03354838709677419,31
Barbados,2026.0,1.0,25.823333333333334,0.032,30
Barbados,2026.0,2.0,25.835714285714285,0.028928571428571432,28
Barbados,2026.0,3.0,25.251612903225805,0.025806451612903226,31
Barbados,2026.0,4.0,25.783333333333335,0.02033333333333333,30
Barbados,2026.0,5.0,26.538709677419355,0.025806451612903226,31
Barbados,2026.0,6.0,26.894117647058824,0.02823529411764706,17
Belarus,2024.0,5.0,22.470588235294116,0.03,17
Belarus,2024.0,6.0,22.153333333333332,0.025,30
Belarus,2024.0,7.0,24.29310344827586,0.019310344827586208,29
Belarus,2024.0,8.0,24.664516129032258,0.01,31
Belarus,2024.0,9.0,22.42,0.005000000000000001,30
Belarus,2024.0,10.0,10.54516129032258,0.004838709677419356,31
Belarus,2024.0,11.0,3.2666666666666666,0.005333333333333333,30
Belarus,2024.0,12.0,0.9645161290322585,0.01,31
Belarus,2025.0,1.0,1.4774193548387102,0.012903225806451613,31
Belarus,2025.0,2.0,-1.149999999999998,0.010714285714285714,28
Belarus,2025.0,3.0,7.212903225806452,0.007741935483870969,31
Belarus,2025.0,4.0,11.193333333333333,0.008333333333333333,30
Belarus,2025.0,5.0,12.438709677419354,0.02838709677419355,31
Belarus,2025.0,6.0,17.913333333333334,0.027333333333333334,30
Belarus,2025.0,7.0,21.403225806451612,0.02838709677419355,31
Belarus,2025.0,8.0,19.14516129032258,0.015483870967741937,31
Belarus,2025.0,9.0,15.436666666666667,0.009666666666666667,30
Belarus,2025.0,10.0,6.848387096774194,0.01741935483870968,31
Belarus,2025.0,11.0,2.61,0.010333333333333333,30
Belarus,2025.0,12.0,0.7161290322580656,0.013225806451612905,31
Belarus,2026.0,1.0,-2.0266666666666633,0.016,30
Belarus,2026.0,2.0,-1.6392857142857111,0.01535714285714286,28
Belarus,2026.0,3.0,3.1379310344827585,0.006206896551724138,29
Belarus,2026.0,4.0,5.510000000000001,0.010333333333333333,30
Belarus,2026.0,5.0,13.329032258064515,0.008387096774193548,31
Belarus,2026.0,6.0,15.194117647058825,0.014705882352941176,17
Belgium,2024.0,5.0,16.294117647058822,0.03823529411764706,34
Belgium,2024.0,6.0,18.598275862068967,0.019827586206896553,58
Belgium,2024.0,7.0,21.582456140350878,0.024385964912280705,57
Belgium,2024.0,8.0,23.437096774193545,0.012419354838709677,62
Belgium,2024.0,9.0,18.236666666666668,0.021166666666666667,60
Belgium,2024.0,10.0,13.430645161290323,0.012096774193548387,62
Belgium,2024.0,11.0,8.026666666666667,0.0125,60
Belgium,2024.0,12.0,6.361290322580645,0.015161290322580645,62
Belgium,2025.0,1.0,3.9919354838709675,0.013548387096774195,62
Belgium,2025.0,2.0,4.878571428571428,0.009464285714285715,56
Belgium,2025.0,3.0,8.637096774193548,0.002741935483870968,62
