country,location_name,latitude,longitude,temperature_celsius,precip_mm,humidity,air_quality_PM2.5
Denmark,Copenhagen,55.67,12.58,19.065,0.0185,63.65,5.051
Djibouti,Djibouti,11.595,43.1481,30.434453781512605,0.005630252100840337,56.924369747899156,29.92016806722689
Djibouti,Djibouti,11.6,43.15,36.76521739130435,0.009130434782608696,45.78260869565217,19.63086956521739
Dominica,Roseau,15.3,-61.4,26.47062937062937,0.03426573426573427,77.72727272727273,12.425139860139861
Dominican Republic,Santo Domingo,18.4667,-69.9,23.266911764705885,0.0065441176470588235,95.19852941176471,13.428713235294119
Dominican Republic,Santo Domingo,18.47,-69.9,26.77692307692308,0.011153846153846155,89.73076923076923,9.338461538461539
Ecuador,Quito,-0.22,-78.5,11.642307692307693,0.0038461538461538464,66.76923076923077,24.994615384615386
Ecuador,Quito,-0.2167,-78.5,10.126666666666667,0.020583333333333335,87.85833333333333,8.50625
Egypt,Cairo,30.05,31.25,26.030263157894737,0.00013157894736842105,42.36842105263158,32.398355268177234
El Salvador,San Salvador,13.7086,-89.2031,23.541463414634144,0.011788617886178862,84.52845528455285,20.12788617886179
El Salvador,San Salvador,13.71,-89.2,23.635483870967743,0.010967741935483872,93.58064516129032,17.802096774193547
Equatorial Guinea,Malabo,3.75,8.78,27.044,0.0432,85.76,2.4903999999999997
Equatorial Guinea,Malabo,3.75,8.7833,26.71825396825397,0.030793650793650797,88.45238095238095,13.342857142857143
Eritrea,Asmara,15.33,38.93,24.02,0.0225,38.3,19.6695
Eritrea,Asmara,15.3333,38.9333,20.556521739130435,0.0066956521739130435,45.06956521739131,21.20173913375191
Estonia,Tallinn,59.43,24.73,20.129032258064516,0.014838709677419355,61.225806451612904,5.705645161290323
Estonia,Tallinn,59.4339,24.7281,6.371052631578948,0.01631578947368421,78.35964912280701,8.357324561403509
Ethiopia,Addis Ababa,9.03,38.7,20.6030303030303,0.033030303030303035,60.27272727272727,17.32121212121212
Ethiopia,Addis Ababa,9.0333,38.7,19.180672268907564,0.012773109243697478,48.76470588235294,27.979915966386557
Fiji Islands,Suva,-18.1333,178.4167,25.2,0.03404761904761905,89.5,6.210674603174603
Fiji Islands,Suva,-18.13,178.42,22.553571428571427,0.031785714285714285,88.53571428571429,5.3655357142857145
Finland,Helsinki,60.1756,24.9342,7.414285714285715,0.015873015873015872,79.42063492063492,8.101507936507936
Finland,Helsinki,60.18,24.93,19.19333333333333,0.009666666666666667,63.1,4.636333333333334
France,Paris,48.8667,2.3333,11.222115384615384,0.009423076923076925,80.96153846153847,19.126538461538463
France,Paris,48.87,2.33,21.976470588235294,0.017352941176470592,58.14705882352941,6.759117647058823
Gabon,Libreville,0.38,9.45,27.975,0.021875000000000002,73.1875,10.81859375
Gabon,Libreville,0.3833,9.45,26.30462962962963,0.022037037037037036,86.27777777777777,15.245324074074075
Gambia,Banjul,13.45,-16.58,29.187878787878788,0.019393939393939394,71.0,11.247878787878788
Gambia,Banjul,13.4531,-16.5775,23.700757575757574,0.005227272727272728,71.43181818181819,31.716136363636362
Georgia,Tbilisi,41.725,44.7908,15.372,0.009519999999999999,59.936,14.53324
Georgia,Tbilisi,41.73,44.79,27.1,0.0018181818181818182,41.36363636363637,11.315681818181817
Germany,Berlin,52.5167,13.4,9.827350427350426,0.009572649572649574,76.73504273504274,16.982222222222223
Germany,Berlin,52.52,13.4,22.455555555555552,0.013703703703703704,53.111111111111114,5.975740740740741
Ghana,Accra,5.55,-0.22,28.32857142857143,0.017857142857142856,73.39285714285714,6.384821428571429
Ghana,Accra,5.55,-0.2167,27.094285714285714,0.01,85.2,17.505666666666666
Greece,Athens,37.9795,23.7162,19.599137931034484,0.005431034482758621,52.78448275862069,17.532370689655174
Greece,Athens,37.98,23.72,32.792857142857144,0.0,28.928571428571427,10.350178571428572
Grenada,Saint George's,12.05,-61.75,27.157432432432433,0.02641891891891892,82.62837837837837,12.534385137712633
